,case,organ,dice,method
0,0,Bladder,0.8982484936714172,04
1,1,Bladder,0.8820144534111023,04
2,2,Bladder,0.9063999652862549,04
3,3,Bladder,0.9282560348510742,04
4,4,Bladder,0.8745060563087463,04
5,5,Bladder,0.8933494091033936,04
6,6,Bladder,0.7520685791969299,04
7,7,Bladder,0.9098556041717529,04
8,8,Bladder,0.8894140124320984,04
9,9,Bladder,0.7563599348068237,04
10,10,Bladder,0.9096333384513855,04
11,11,Bladder,0.9084061980247498,04
12,12,Bladder,0.9155524373054504,04
13,13,Bladder,0.8553768992424011,04
14,14,Bladder,0.9036126732826233,04
15,15,Bladder,0.9055420160293579,04
16,16,Bladder,0.8203811049461365,04
17,17,Bladder,0.9249468445777893,04
18,18,Bladder,0.8414996266365051,04
19,19,Bladder,0.9281092882156372,04
20,20,Bladder,0.869271457195282,04
21,21,Bladder,0.909471333026886,04
22,22,Bladder,0.8690987825393677,04
23,23,Bladder,0.7757103443145752,04
24,24,Bladder,0.9282969832420349,04
25,25,Bladder,0.9279109239578247,04
26,26,Bladder,0.7979147434234619,04
27,27,Bladder,0.8105126023292542,04
28,28,Bladder,0.9322375655174255,04
29,29,Bladder,0.6780282258987427,04
30,30,Bladder,0.8701125979423523,04
31,31,Bladder,0.8891919851303101,04
32,32,Bladder,0.8961959481239319,04
33,33,Bladder,0.8629620671272278,04
34,34,Bladder,0.9212653040885925,04
35,35,Bladder,0.81299889087677,04
36,36,Bladder,0.8777035474777222,04
37,37,Bladder,0.9267752766609192,04
38,38,Bladder,0.8662060499191284,04
39,39,Bladder,0.8988694548606873,04
40,40,Bladder,0.688112199306488,04
41,41,Bladder,0.9119448065757751,04
42,42,Bladder,0.8493198156356812,04
43,43,Bladder,0.9075977206230164,04
44,44,Bladder,0.840495228767395,04
45,45,Bladder,0.8845165371894836,04
46,46,Bladder,0.7372279763221741,04
47,47,Bladder,0.8590590953826904,04
48,48,Bladder,0.8224291801452637,04
49,49,Bladder,0.7650615572929382,04
50,50,Bladder,0.8036213517189026,04
51,51,Bladder,0.8281964659690857,04
52,52,Bladder,0.6105962991714478,04
